"","X","chatter","current_events","travel","photo_sharing","uncategorized","tv_film","sports_fandom","politics","food","family","home_and_garden","music","news","online_gaming","shopping","health_nutrition","college_uni","sports_playing","cooking","eco","computers","business","outdoors","crafts","automotive","art","religion","beauty","parenting","dating","school","personal_fitness","fashion","small_business","spam","adult","total"
"95","b6728cmui",15,5,0,7,1,0,0,2,1,2,3,0,0,2,12,4,3,1,1,1,0,0,3,1,0,0,3,1,0,1,0,7,1,0,0,0,77
"96","vfx8milcu",2,2,0,0,1,1,2,6,2,2,2,1,5,0,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,34
"97","yeomc1xqw",4,1,0,7,1,6,0,0,1,0,0,0,0,0,1,0,2,2,1,0,0,1,1,3,0,0,0,2,1,1,1,1,0,1,0,0,38
"98","6m4i2jlkh",7,1,0,3,0,3,1,10,2,1,0,1,10,0,3,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,3,0,1,0,0,0,52
"99","cbryu4spk",3,1,1,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,17
"100","mdeh6i5gz",8,0,1,3,1,0,1,1,0,2,0,1,0,1,6,1,0,1,5,0,0,2,1,2,0,0,2,1,1,1,2,0,3,0,0,0,47
"101","srqa12kol",7,3,0,2,0,1,0,0,0,0,1,0,0,0,5,1,0,0,1,1,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,4,32
"102","28f5tnpmb",5,3,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"103","egm37jnxs",1,0,0,2,2,2,0,0,1,1,0,0,0,4,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20
"104","wxjofvkt4",7,3,0,0,0,1,2,0,3,1,1,1,0,0,0,10,1,0,1,2,0,0,2,0,0,0,0,2,0,3,1,5,1,0,0,0,47
"105","k3ury7nvg",4,0,0,2,0,1,0,1,4,1,0,3,2,6,0,12,8,2,9,4,1,0,2,0,0,0,0,2,0,1,1,11,1,0,0,0,78
"106","xnrez39tb",2,2,0,0,0,1,2,4,1,1,2,1,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,25
"107","qr78hfcsl",3,4,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
"108","1vx3tznus",13,1,2,13,2,0,1,0,2,0,0,1,0,3,7,10,4,4,1,2,0,0,4,0,0,0,0,1,2,0,0,8,2,1,0,0,84
"109","3kqawlutd",17,0,0,4,1,0,0,1,0,1,1,1,0,1,0,2,2,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,38
"110","bmhqoy1p8",4,2,0,3,1,2,2,0,1,0,0,3,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,28
"111","ldq12wyrz",5,2,3,3,0,2,2,1,0,0,2,0,1,15,1,0,10,4,5,0,0,0,0,0,1,4,0,0,0,0,3,0,0,1,0,0,65
"112","1bjd3vw5h",1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8
"113","dxb645cjm",6,3,2,3,0,0,1,1,0,1,2,1,0,9,0,0,3,1,2,0,1,0,0,0,5,3,0,0,0,0,0,1,0,0,0,5,50
"114","cbyh9d2q7",0,2,0,0,1,5,0,0,4,0,1,0,0,1,1,0,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,24
"115","lni6dq45w",9,3,2,5,1,0,10,2,3,5,2,0,4,0,4,7,2,1,1,0,0,1,2,1,2,1,3,1,3,0,3,5,0,0,0,0,83
"116","9hpnvc6q2",8,0,0,3,2,0,3,3,2,0,1,1,4,0,6,0,0,1,0,0,0,0,1,1,5,0,0,0,1,0,1,0,0,0,0,1,44
"117","wnihdpl1c",3,4,5,2,0,2,2,6,1,2,0,2,1,0,0,0,3,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38
"118","hj1unf8kp",2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,13
"119","gqp5jbd6c",7,2,1,7,2,2,1,0,3,0,2,0,3,0,1,1,0,2,1,2,0,0,2,2,0,6,1,1,0,0,1,3,2,1,0,0,56
"120","k6boil97m",2,3,5,1,1,0,0,1,0,0,0,1,2,1,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,6,35
"121","47nchz8gb",3,1,1,0,1,0,2,0,1,1,1,1,5,0,1,20,0,2,5,2,2,0,1,1,1,1,1,0,0,0,0,12,0,0,0,0,66
"122","1jnwdtz3c",6,4,7,2,0,0,1,9,1,0,0,0,2,1,0,1,0,0,1,1,4,0,2,1,1,0,2,0,0,2,0,0,1,0,1,9,59
"123","tcvawjoqs",0,0,0,7,1,0,1,1,2,1,1,0,0,0,0,1,0,1,13,1,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,36
"124","wjng62ar3",13,6,0,6,1,0,2,0,0,0,0,0,0,0,6,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40
"125","gsdqjfyp3",9,1,4,8,0,0,0,7,1,1,0,3,2,1,2,1,1,0,1,2,4,1,0,0,2,0,0,0,2,0,0,1,0,1,0,0,55
"126","253mq6j4b",2,0,1,1,0,2,3,5,3,3,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,2,0,1,0,1,0,2,0,0,0,33
"127","za7up8ig2",2,0,3,1,1,2,1,3,1,1,1,1,2,0,0,0,2,1,6,0,1,0,0,0,3,4,0,1,0,0,0,0,4,0,0,0,41
"128","fnzsq2c6k",3,2,1,1,1,3,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,3,1,0,0,31
"129","nq6cj9bg5",1,3,0,13,1,1,0,1,0,1,1,1,0,1,1,6,1,1,11,0,0,1,3,0,0,0,2,2,1,0,1,5,8,0,0,0,67
"130","qju5hrxns",4,5,1,2,2,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,25
"131","9nfm6trcl",4,0,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13
"132","cesjuy97n",3,0,3,7,1,2,4,11,0,0,1,0,9,0,2,0,0,0,8,0,0,2,0,0,7,1,0,2,1,1,0,0,5,0,0,2,72
"133","5iy3kup6l",3,2,0,2,0,1,3,3,1,2,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,26
"134","aj6otqe47",3,1,2,2,2,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,7,4,0,0,0,0,0,29
"135","lftzor5ea",11,2,0,8,2,0,1,2,0,0,0,0,0,0,8,0,2,0,0,0,2,1,2,0,1,0,3,1,1,1,0,0,0,0,0,0,48
"136","or8d57zs3",2,1,1,9,4,0,2,0,0,2,0,0,1,0,1,0,1,0,13,0,1,1,0,0,2,0,2,3,0,0,0,1,6,1,0,0,54
"137","i5mlv1y4r",2,2,5,3,1,5,1,2,2,0,0,4,2,2,1,2,5,1,15,0,0,1,2,1,1,0,0,2,1,0,0,2,6,1,0,0,72
"138","ga49y8vid",0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,2,0,1,0,1,5,0,0,0,29
"139","cl1378b6r",2,0,1,3,0,0,1,0,1,0,0,0,1,0,0,5,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,4,0,0,0,0,25
"140","3nleckfa7",16,0,2,11,0,0,1,3,3,0,0,1,1,8,5,11,5,1,3,0,3,1,0,1,1,0,1,0,1,0,1,4,0,0,0,0,84
"141","ky8ahre5i",6,1,1,1,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,3,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,4,27
"142","a3m6rhcbs",6,1,1,1,1,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,21
"143","d8rl7myjh",8,2,2,7,2,4,2,2,1,1,1,1,0,2,4,0,1,1,0,2,0,0,0,3,1,10,3,0,3,0,0,0,1,0,0,0,64
"144","ypkvbwi7c",3,1,1,2,0,1,0,0,1,1,2,0,0,8,4,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,40
"145","p9hb2lwef",7,2,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0,4,0,0,1,0,0,0,0,0,4,2,2,4,0,6,0,0,0,39
"146","lwk5cndmx",3,1,1,1,1,0,4,1,3,3,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,4,1,5,0,2,1,0,2,0,0,38
"147","qkzxb8igc",2,2,0,2,0,0,0,0,0,0,2,1,0,1,1,1,1,2,9,0,2,0,2,0,0,0,2,2,0,0,0,0,3,0,0,0,35
"148","1pd5k9g6m",7,1,0,0,0,1,1,1,4,0,0,0,1,0,1,10,1,3,2,0,1,1,3,1,0,3,0,0,0,13,1,6,5,1,0,0,68
"149","5h8pjwyas",6,3,8,3,1,1,4,14,2,1,1,1,4,0,2,1,1,0,0,0,4,0,0,2,1,0,3,0,2,1,2,0,0,2,0,0,70
"150","xn5pa3sro",7,1,0,5,0,2,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,24
"151","swze5l2xd",8,1,2,2,1,0,3,3,2,1,0,0,2,0,3,1,0,2,1,2,0,0,2,0,4,0,1,0,0,0,0,3,0,1,0,0,45
"152","tmo5pwiqg",0,1,0,0,0,1,3,0,4,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,4,0,3,1,0,0,0,0,0,0,25
"153","uw9s8ygn4",4,0,0,5,0,0,0,1,2,0,0,0,0,2,3,2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,26
"154","f39le8cjr",1,1,2,0,1,0,0,4,0,1,1,2,6,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,25
"155","4kidun9fr",4,3,0,1,0,1,5,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,2,1,1,2,0,0,0,3,32
"156","qgbeln71p",7,3,0,4,0,1,3,0,4,4,2,0,1,0,0,5,0,0,1,0,0,0,3,0,1,1,3,0,3,2,0,6,1,1,0,0,56
"157","v3tlkwj51",6,1,0,6,1,0,2,2,3,0,0,2,0,1,1,7,0,0,2,0,0,0,2,0,1,1,0,0,1,1,0,4,0,0,0,0,44
"158","j32dbqg49",1,3,2,0,0,0,2,0,2,1,0,0,1,0,0,17,0,0,5,0,2,0,1,0,0,0,2,0,0,1,0,7,2,0,0,0,49
"159","sfmu2nztr",11,1,1,3,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,3,1,0,0,0,0,0,1,1,0,0,33
